REFERENCIA,DESCRIPCIÓN,TOTAL_SALES,CUM_SHARE,ABC_CLASS,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,XYZ_CLASS,ABC_XYZ
ALHP-0866,RADIADOR DE LA CALEFACCION G V III,500,0.3995256286801269,A,8.0645,11.6299,1.4421,Z,AZ
FIN17040-JR40C,FILTRO INTANK,500,0.40051225788119404,A,8.0645,13.9918,1.735,Z,AZ
FL26689547,MODULO GASOLINA SUMERGIBLE,499,0.40149691382385905,A,8.0484,7.8913,0.9805,Y,AY
8-98071424-0,FILTRO AIRE,499,0.40248156976652405,A,8.0484,6.583,0.8179,Y,AY
EP21-0028,KIT DISTRIBUCION,497,0.4034622791923848,A,8.0161,12.1542,1.5162,Z,AZ
FLST1,PREFILTRO,495,0.40443904210144127,A,7.9839,15.3186,1.9187,Z,AZ
FL46443198,MODULO GASOLINA SUMERGIBLE,494,0.4054138317520956,A,7.9677,7.1323,0.8951,Y,AY
HP0004,JGO. PASTILLA DE FRENO,494,0.40638862140274995,A,7.9677,9.5613,1.2,Z,AZ
ENLA-2498,MEDIDOR ACEITE AMAROK,492,0.4073594645366,A,7.9355,8.0999,1.0207,Z,AZ
DR55211-65D10,DISCO FRENO,492,0.4083303076704501,A,7.9355,9.9998,1.2601,Z,AZ
ALHP-0619,VARILLA MEDIR ACEITE GOLF IV AKL AVU AGU,491,0.409299177545898,A,7.9194,6.7449,0.8517,Y,AY
SP-1050,JGO. PASTILLA DE FRENO,490,0.4102660741629438,A,7.9032,12.5515,1.5881,Z,AZ
TRUD1405,JGO. PASTILLA DE FRENO,489,0.4112309975215874,A,7.8871,7.0347,0.8919,Y,AY
WT1J0121087C,"TOMA DE AGUA GOLF IV, BORA 2.0 JETTA 2.0",489,0.4121959208802311,A,7.8871,13.6537,1.7311,Z,AZ
FL31110-1G000SM,MODULO GASOLINA SUMERGIBLE,489,0.4131608442388748,A,7.8871,18.7514,2.3775,Z,AZ
FL6RF919051,MODULO GASOLINA SUMERGIBLE,486,0.41411984782231204,A,7.8387,12.4902,1.5934,Z,AZ
DK1754077E10,POLEA TENSORA,486,0.4150788514057493,A,7.8387,10.9341,1.3949,Z,AZ
16546-86G00,FILTRO AIRE,485,0.41603588173078443,A,7.8226,15.4539,1.9756,Z,AZ
WT06A121121C,TOMA DE AGUA,484,0.4169909387974174,A,7.8065,8.3354,1.0678,Z,AZ
131411811,BRIDA RULIMAN EMBRAGUE GOL,483,0.4179440226056483,A,7.7903,10.7014,1.3737,Z,AZ
OES-CHEMP-15W40-MC,ACEITE CHEMPIOIL 15W40 TRUCK SYNTHETIC 44198,482,0.418895133155477,A,7.7742,7.0446,0.9062,Y,AY
FL31110-2S000,MODULO GASOLINA SUMERGIBLE,480,0.4198422971885014,A,7.7419,8.2871,1.0704,Z,AZ
DK0K97212700,TEMPLADOR BANDA DISTRIBUCION,476,0.42078156818791734,A,7.6774,6.8055,0.8864,Y,AY
FG-0050,FILTRO GASOLINA,476,0.4217208391873333,A,7.6774,5.3303,0.6943,Y,AY
TRUD1089,JGO. PASTILLA DE FRENO,475,0.42265813692834703,A,7.6613,6.7201,0.8771,Y,AY
ET1601-DC-0041,CONO Y CORONA,472,0.4235895148941544,A,7.6129,10.2018,1.3401,Z,AZ
28113-08000,FILTRO AIRE,472,0.4245208928599618,A,7.6129,14.4617,1.8996,Z,AZ
KR95220-2S000,RELAY LUCES,470,0.4254483243089649,A,7.5806,6.8992,0.9101,Y,AY
WT5Q0121407M,RESERVORIO,469,0.42637378249956587,A,7.5645,14.807,1.9574,Z,AZ
OK551-14-302,FILTRO ACEITE  KIA PREGIO,469,0.42729924069016684,A,7.5645,12.0625,1.5946,Z,AZ
XI-27,FILTRO GASOLINA,468,0.4282227256223657,A,7.5484,10.1484,1.3444,Z,AZ
WT030109423B,PROPULSOR HIDRAULICO POLO,465,0.4291402907793581,A,7.5,10.0527,1.3404,Z,AZ
KR22441-2X001,TAPA VALVULA,464,0.4300558826779484,A,7.4839,11.4395,1.5286,Z,AZ
8EL012430-951,ALTERNADOR,464,0.4309714745765387,A,7.4839,8.5246,1.1391,Z,AZ
FL60VW0145,BOMBA GASOLINA SUMERGIBLE,463,0.4318850932167269,A,7.4677,5.0088,0.6707,Y,AY
KIT007,JGO MICROFILTRO,463,0.4327987118569151,A,7.4677,12.009,1.6081,Z,AZ
FL152582,MODULO GASOLINA SUMERGIBLE,462,0.4337103572387011,A,7.4516,11.3857,1.528,Z,AZ
TRUD5001,JGO. PASTILLA DE FRENO,462,0.43462200262048717,A,7.4516,10.1833,1.3666,Z,AZ
TRUD1260,JGO. PASTILLA DE FRENO,461,0.43553167474387106,A,7.4355,9.1645,1.2325,Z,AZ
XI-02,TAPA MODULO GASOLINA,460,0.4364393736088528,A,7.4194,14.3937,1.94,Z,AZ
TRUD774,JGO. PASTILLA DE FRENO,460,0.4373470724738346,A,7.4194,6.6613,0.8978,Y,AY
XI-85,FILTRO GASOLINA,460,0.43825477133881635,A,7.4194,12.3452,1.6639,Z,AZ
PRE414,SOKQUET,459,0.439160496945396,A,7.4032,7.9178,1.0695,Z,AZ
AVM463,JGO. DE RUEDA LIBRE,456,0.4400603027767692,A,7.3548,7.3267,0.9962,Y,AY
ALHP-2145,ROTULA M S IZQ POLO FOX,455,0.4409581353497403,A,7.3387,7.2645,0.9899,Y,AY
ALHP-0713,RELAY 30,455,0.4418559679227114,A,7.3387,12.5941,1.7161,Z,AZ
TRUD1025,JGO. PASTILLA DE FRENO,455,0.4427538004956825,A,7.3387,15.5096,2.1134,Z,AZ
DK1754077E00,POLEA ACCESORIOS,454,0.44364965981025145,A,7.3226,5.7859,0.7901,Y,AY
XI-29,TAPA MODULO GASOLINA SUMERGIBLE,453,0.4445435458664183,A,7.3065,16.2873,2.2292,Z,AZ
DBF-033,MANGUERA BOMBA GASOLINA SUMERGIBLE,453,0.4454374319225851,A,7.3065,14.8635,2.0343,Z,AZ
WT191598625,KIT RULIMAN RUEDA,452,0.4463293447203498,A,7.2903,12.4892,1.7131,Z,AZ
FL30215701,BOMBA GASOLINA SUMERGIBLE,450,0.44721731100131024,A,7.2581,5.6224,0.7746,Y,AY
04,TRANSPORTE QUITO,450,0.4481052772822707,A,7.2581,12.5183,1.7247,Z,AZ
FL550TU138,BOMBA GASOLINA SUMERGIBLE,450,0.4489932435632311,A,7.2581,14.1569,1.9505,Z,AZ
FG-511A,FILTRO GASOLINA,449,0.4498792365857894,A,7.2419,10.886,1.5032,Z,AZ
DR43512-0K010,DISCO FRENO,449,0.4507652296083477,A,7.2419,8.4999,1.1737,Z,AZ
TRUD120,JGO. PASTILLA DE FRENO,448,0.45164924937250384,A,7.2258,9.0472,1.2521,Z,AZ
FLMF005KIT,JGO MICROFILTRO,448,0.45253326913666,A,7.2258,12.01,1.6621,Z,AZ
014941521.1,TROMPO DE RETRO GOL 95,446,0.4534133423840119,A,7.1935,7.4311,1.033,Z,AZ
DBF-015,MANGUERA BOMBA GASOLINA SUMERGIBLE,444,0.4542894691145595,A,7.1613,5.6688,0.7916,Y,AY
FL78880,SENSOR NIVEL GASOLINA,441,0.4551596760699007,A,7.1129,10.4821,1.4737,Z,AZ
TRUD1324,JGO. PASTILLA DE FRENO,440,0.45602790976683977,A,7.0968,12.536,1.7664,Z,AZ
ETCK5037,KIT DISTRIBUCION,440,0.4568961434637789,A,7.0968,14.5189,2.0458,Z,AZ
FLE4056M,MODULO GASOLINA SUMERGIBLE,440,0.45776437716071794,A,7.0968,5.0376,0.7098,Y,AY
FLTUD,PREFILTRO,439,0.4586306375992549,A,7.0806,13.0598,1.8444,Z,AZ
06A198012A,JGO EMPAQUES MOTOR GOLF IV 1 8 TURBO,439,0.45949689803779187,A,7.0806,9.5043,1.3423,Z,AZ
DK2481026000,TEMPLADOR BANDA DISTRIBUCION,439,0.4603631584763288,A,7.0806,8.0528,1.1373,Z,AZ
1J4837462F,LEVANTAVIDRIO ELECT DER,437,0.4612254723980615,A,7.0484,7.555,1.0719,Z,AZ
FLE7199M,MODULO GASOLINA SUMERGIBLE,435,0.4620838398029899,A,7.0161,15.1439,2.1584,Z,AZ
KR27501-23B70,JUEGO CABLES DE BUJIA,435,0.4629422072079183,A,7.0161,8.0552,1.1481,Z,AZ
ALHP-1061,CILINDRO RECEPTOR EMBRAGUE 16 AKL AVU GOLF IV,435,0.4638005746128467,A,7.0161,13.4806,1.9214,Z,AZ
MA96144874,HORQUILLA EMBRAGUE,434,0.46465696875937296,A,7.0,5.5387,0.7912,Y,AY
PR75002,KIT DISTRIBUCION,434,0.46551336290589923,A,7.0,11.655,1.665,Z,AZ
KR97730-25000,ELECTRO VENTILADOR,433,0.4663677837940234,A,6.9839,13.2147,1.8922,Z,AZ
KR59760-25000,CABLE FRENO MANO,433,0.46722220468214753,A,6.9839,7.0767,1.0133,Z,AZ
FLMF007POR,MICRO FILTRO,430,0.46807070579506527,A,6.9355,10.867,1.5669,Z,AZ
WT037121132E,"TOMA DE AGUA, GOLF 1.8 1995--1998, VENTO 1.8 1992-1999",430,0.468919206907983,A,6.9355,16.7725,2.4184,Z,AZ
DBF-16N,MANGUERA BOMBA GASOLINA SUMERGIBLE,429,0.4697657347624986,A,6.9194,6.0915,0.8804,Y,AY
TB07K133062A,CUERPO ACELERACION,428,0.4706102893586121,A,6.9032,12.4702,1.8064,Z,AZ
OK011-13-Z40,FILTRO AIRE,428,0.47145484395472553,A,6.9032,16.0158,2.32,Z,AZ
