REFERENCIA,DESCRIPCIÓN,N_PERIODS,NON_ZERO_PERIODS,PCT_NON_ZERO,ADI,CV2,DEMAND_TYPE
ALHP-0382,TENSOR C POLEA B ALTERNADOR AMAROK,62,12,0.1935,5.1667,8.031,Lumpy
ALHP-0418,BRIDA AMAROK 03L121131M,62,24,0.3871,2.5833,1.8177,Lumpy
ALHP-0428,KIT BANDAS Y TENSOR DISTRIBUCION AMAROK,62,22,0.3548,2.8182,3.4917,Lumpy
ALHP-0432,EMPAQUE BASE ENFRIADOR AMAROK,62,6,0.0968,10.3333,12.786,Lumpy
ALHP-0439,SENSOR MAF AMAROK,62,12,0.1935,5.1667,7.525,Lumpy
ALHP-0447,EMISOR IMPULSOS CIGUENAL CKP POLO 1 6,62,11,0.1774,5.6364,5.9891,Lumpy
ALHP-0480,TERMOSTATO GOLF JETTA IV POLO CLASS,62,15,0.2419,4.1333,8.8425,Lumpy
ALHP-0566,BANDA DISTRIBUCION GJ PC 138 D,62,6,0.0968,10.3333,13.1815,Lumpy
ALHP-0569,TENSOR CADENA B ACEITE,62,23,0.371,2.6957,2.5707,Lumpy
ALHP-0576,BRIDA AGUA GOLF IV JETTA,62,10,0.1613,6.2,9.631,Lumpy
ALHP-0609,SENSOR TEMPERATURA 2 PATAS POLO,62,31,0.5,2.0,1.3786,Lumpy
ALHP-0619,VARILLA MEDIR ACEITE GOLF IV AKL AVU AGU,62,40,0.6452,1.55,0.7254,Lumpy
ALHP-0620,BOMBA DE AUA GOLF IV 16 AKL,62,34,0.5484,1.8235,1.1496,Lumpy
ALHP-0628,JUNTA EMPAQUE DISTRIBUCION TIGUAN,62,12,0.1935,5.1667,6.5668,Lumpy
